obec,kraj,odberatelu,mist,lokalit,vykon,teplo_mnozstvi,teplo_cena,uhli,pod_uhli,plyn,pod_plyn,biomasa,pod_biomasa,olej,pod_olej,ostatni,pod_ostatni
Rychnov u Jablonce nad Nisou,L,6,9,1,1.3119999999999998,4453.0,381.21072759937124,0.0,0.0,4453.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rychvald,T,7,25,5,8.767999999999999,38750.0,354.6280820645161,0.0,0.0,15566.0,0.4017032258064516,0.0,0.0,0.0,0.0,23184.0,0.5982967741935484
Rychvald DIN,T,1,3,1,0.252,1247.0,616.91,0.0,0.0,983.0101,0.7883,0.0,0.0,0.0,0.0,263.98990000000003,0.21170000000000003
Ryžoviště,T,2,2,1,0.23,1315.0,374.67,1010.446,0.7684,304.55400000000003,0.23160000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Ráječko,B,1,1,1,0.14,170.0,584.05,0.0,0.0,170.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Rýmařov,T,56,155,3,10.918,55379.0,542.8280830278625,1563.1696,0.028226757435128837,53815.8304,0.9717732425648712,0.0,0.0,0.0,0.0,0.0,0.0
Rýnovice,L,22,33,1,26.362,67701.0,547.7914962851362,0.0,0.0,67701.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sedlčany,S,52,55,2,12.255999999999998,37844.0,562.8561856569073,0.0,0.0,37844.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Semily,L,17,20,2,6.021999999999999,17838.0,559.1545913218971,0.0,0.0,17838.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Senetářov,B,1,1,1,0.075,35.0,299.99,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Sezemice,E,3,10,1,1.4269999999999998,3709.0,317.14,0.0,0.0,3709.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
